#
# MD1: a minimal molecular dynamics program
#
# Problema 2
#  Input sample: a2.cry
#                                (only positions read from file)
# Output sample: a2.md1
# Number of steps:    1000, time step: 0.0032, total time:      3.2000
# Number of atoms:    32
# Box size:    3.100000    3.100000    3.100000, Volume:         29.791
# Density:    1.074150 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.000006      0.000010     -6.573591     -6.573582      2.661673
      2      0.000057      0.000086     -6.573668     -6.573582      2.661280
      3      0.000158      0.000237     -6.573819     -6.573582      2.660502
      4      0.000307      0.000461     -6.574043     -6.573582      2.659356
      5      0.000501      0.000752     -6.574334     -6.573583      2.657865
      6      0.000737      0.001105     -6.574688     -6.573583      2.656061
      7      0.001008      0.001512     -6.575096     -6.573583      2.653984
      8      0.001311      0.001966     -6.575550     -6.573584      2.651677
      9      0.001641      0.002461     -6.576042     -6.573581      2.649188
     10      0.001993      0.002990     -6.576572     -6.573582      2.646553
     11      0.002361      0.003541     -6.577123     -6.573583      2.643837
     12      0.002736      0.004105     -6.577687     -6.573582      2.641092
     13      0.003118      0.004677     -6.578262     -6.573585      2.638362
     14      0.003504      0.005256     -6.578837     -6.573582      2.635699
     15      0.003885      0.005827     -6.579409     -6.573582      2.633145
     16      0.004255      0.006383     -6.579965     -6.573582      2.630752
     17      0.004609      0.006913     -6.580494     -6.573582      2.628570
     18      0.004940      0.007410     -6.580991     -6.573581      2.626643
     19      0.005251      0.007877     -6.581459     -6.573582      2.624987
     20      0.005538      0.008307     -6.581891     -6.573584      2.623640
     21      0.005789      0.008684     -6.582268     -6.573584      2.622648
     22      0.006007      0.009011     -6.582585     -6.573574      2.622041
     23      0.006200      0.009299     -6.582874     -6.573575      2.621774
     24      0.006364      0.009547     -6.583120     -6.573574      2.621874
     25      0.006499      0.009749     -6.583322     -6.573572      2.622340
     26      0.006602      0.009903     -6.583478     -6.573574      2.623167
     27      0.006678      0.010017     -6.583588     -6.573571      2.624358
     28      0.006730      0.010095     -6.583665     -6.573570      2.625875
     29      0.006757      0.010136     -6.583698     -6.573563      2.627724
     30      0.006760      0.010140     -6.583705     -6.573565      2.629851
     31      0.006747      0.010120     -6.583684     -6.573564      2.632242
     32      0.006724      0.010087     -6.583649     -6.573562      2.634848
     33      0.006691      0.010037     -6.583593     -6.573556      2.637657
     34      0.006647      0.009970     -6.583530     -6.573560      2.640615
     35      0.006599      0.009899     -6.583458     -6.573559      2.643707
     36      0.006549      0.009824     -6.583385     -6.573561      2.646895
     37      0.006491      0.009737     -6.583298     -6.573561      2.650174
     38      0.006431      0.009646     -6.583205     -6.573559      2.653506
